question,true_dept,pred_dept,correct,confidence
псоо сметка,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6974229864258279
анекс към договор за трезор,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,Пазар Ежедневно банкиране,False,0.25175706636074385
как да продавам лесно кк,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.5882030024014376
"в какъв продукт (план) се трансформират сметката и специалната дебитна карта дск тийн, при навършване на 18 годишна възраст на титуляра?а) в план за младежи б)в основен план в)в премиум план а, б или в?",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8049341540520661
редно ли е при дадена негативна оценка от клиент за неработещ банкомат за вноски да бъдат санкционирани служителите?,Други,Пазар Жилищни и ипотечни кредити,False,0.2997797931729554
каква е максимално допустимата вноска при ипотечен кредит за покупка на клиент със заплата 2642 лева,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7808032468887698
колко е максимална експозиция за ктп,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.679880450591873
клон 1502,Други,Други,True,0.48889603398327064
как да сменя имейла си в wizz air,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.4916225484101854
има ли такси при срочен депозит?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.4982705256860808
колко струва по тарифа на банката оценка на самостоятелен гараж,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6313402644879191
има ли такса за вноска на гише по срочен депозит,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False,0.44630204704994214
необходимо ли е да се попълва декларация произход на средства при теглене на 5100 евро,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Ежедневно банкиране,False,0.3169838815448987
колко запитвания получи от колегите?,Други,Други,True,0.35574032497774805
как се прави превод на великобритания,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,True,0.4807800597016509
стъпки по откриване на фирмена сметка,Пазар Малък бизнес,Пазар Малък бизнес,True,0.7952780617940236
"hi, i have a new phone number. i dont see a place to change my number. only i can see the number im using right now and the number thats the zertifikate issued for. no option to change the number? inam not in bulgarien, and can not come tonthe office. ist there any was to change the phone number for my account?",Други,Други,True,0.6146483358414833
колко е таксата за вноска по сметка на фирмен клиент,Пазар Малък бизнес,Пазар Ежедневно банкиране,False,0.38139085467664463
може ли 17 г. дете да има dsk mobile?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7873221639036595
къде в mobail клиент може да прегледа документите си за кредит текущи нужди преди да ги подпише,Пазар Ежедневно банкиране,Пазар Жилищни и ипотечни кредити,False,0.20007863517315386
какво включва асистиран онлайн процес в офис на банката за регистарция на бизнес клиент?,Пазар Малък бизнес,Пазар Малък бизнес,True,0.749881422189939
"когато дебитната карта е доставена на клиент чрез куриер, какъв е начинът за нейната активация?",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.16532085440248248
лимити за преводи през дск мобайл,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7804746252223355
документи за жик с акт 14,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6660193116550279
документи за набирателна сметка,Пазар Малък бизнес,Пазар Малък бизнес,True,0.7816415473519268
възможно ли е в dsk mobile клиента да се върне стъпка назад при подготовка за превод и да промени някои от параметрите?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6728033647429178
как да включа разплащателна сметка към планове за ежедневно банкиране на банка дск,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.470741891718559
"когато картата на клиента е задържана от банкомат, заплаща ли се такса за преиздаване?",Други,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False,0.2873185761965296
има ли депозити в банката,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.3080045877001887
с кой вид ипотечен кредит може да се предоставят средства за текущи нужди/рефинансиране,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7935726630686787
"с платежна сметка за основни операции, електронното банкиране дск директ се ползва?",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5632070716471052
от къде мога да си издам гаранционно писмо,Пазар Малък бизнес,Други,False,0.6312181486917738
може ли да се регистрира клиент от високорискова страна,Пазар Ежедневно банкиране,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False,0.30517494005006285
какъв е максимално допустимият размер за кандидатстване ктп,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.616986087825088
дск тийн,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8158348627358185
"колко нотификации за необходимост от актуализация на документ за самоличност получава клиет преди да бъдат предприети действия от страна на банката за ограничаване на платежните му услуги, съгласно програма за актуализация на докумет за самоличност",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.31603490945880003
какви документи са необходими за жилищен кредит,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6643499142914185
здравей,Други,Други,True,0.726259227985815
къде се отразява разпределения дивидент в баланса на фирмата,Няколко пазара,Други,False,0.43545138607315076
каква може да е причината клиент с активно банкиране да не получава смс за потвърждение на превод,Пазар Ежедневно банкиране,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.20776640492433507
за колко време е експресна доставка на пластика,Пазар Ежедневно банкиране,Други,False,0.2328576163038429
каква е таксата за одобрение на потребителски кредит за 20000 лв.,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.8090416523544954
какъв е максималният лимит на кк по облекчената процедура за клиенти с план премиум,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.6885918372627015
да изтегля ли ипотечен заем,Други,Пазар Жилищни и ипотечни кредити,False,0.38107439092881196
при дублиран номер как се верифицира телефон,Пазар Ежедневно банкиране,Пазар Банково застраховане,False,0.2636568143057003
зареден ли ми е лимита по кредитната карта?,Други,Пазар Разсрочени плащания,False,0.6982541197627069
колко съм висока,Други,Други,True,0.47957655312438763
архивиране на плъномощни,Пазар Ежедневно банкиране,Support_Services,False,0.42589247383494094
ако се нареди превод през dsk online как се потвърждава превода,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.547776408145361
основна цел на инвестирането е?,Пазар Спестяване и инвестиции,Други,False,0.23825502895958858
може ли клиент да създаде сам нов статичен пин по карта без да посещава клон,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6240309988654176
дете на възраст 14-17 години подписва ли gdpr и по конкретно съгласие за директен маркетинг,Пазар Ежедневно банкиране,Други,False,0.2073947393460033
има ли безплатен достъп за придружител с mastercard platinum,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.2094069440662874
приятни почивни дни,Други,Други,True,0.35004900802753813
какъв е минималния лимит на кредитна карта платиниум,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7809957107752438
"какви са преференциални условия: при потребителски, жилищен и ипотечен кредит.",Няколко пазара,Пазар Жилищни и ипотечни кредити,False,0.7702969399894499
може ли съществуващ клиент да открие сметка през dsk mobile,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8912633850285486
"може ли клиент който има дск тийн ,но дебитната му карта още не е готова в присъствието на един родител да изтегли на гише сума от 300,00 лв при положение ,че е теглил предишният ден на гише",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.20155109425788267
оферта за премиум план,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6318407110995408
а без заявка,Други,Други,True,0.5722072098570584
какво включва премиум план,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7353573737302318
как се определя бонусът при продажба на договорни фондове,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.26660070396173613
добро утро! в колко часа отваря бдск,Други,Други,True,0.6078224412924065
през смарт приложението може ли да се плаща бюджетни сметки,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6066841201298968
каква е таксата за валутен превод?,Пазар Ежедневно банкиране,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.7524879534911311
тоест колко,Други,Други,True,0.3965248499286546
"зона 1, 2, 3, или 4 е",Други,Други,True,0.4558196007701822
какво е универсален пенсионен фонд,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.5303936289918357
документи за ктп,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.6889311969331936
ктп с дук при еоод необходими документи,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.6634240541270379
какво ми дава план премиум,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6313868887368351
какво е по-изгодно за клиента при вноска по главница в кредит - намаляне на периода или намаляне на вноската?,Няколко пазара,Пазар Жилищни и ипотечни кредити,False,0.37943781325377746
закриване на сметка със салдо,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,True,0.36754420512726127
може ли да се разреши кредитна карта по облекчена процедура на клиент със забава над 360 дни за минал период,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7473287625246495
чб дск премиум,Други,Пазар Ежедневно банкиране,False,0.608758200638786
могат ли да се извършват преводи към бюджени сметки през дск мобайл,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8240470580604088
колко е максималния размер потребителски кредит,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.7908887499327839
мога ли да песна кредит 100 000 лева на клиент на банка дск без да има съществуващ кредит,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.34402186074673136
как работи кешбека на уиз еър кредитната карта ?,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.6005079357415953
каква е разликата между инвестиционен план и фонд,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.5709288342939685
"клиента трябва ли да предостави различни ксс в случай че ще излъчваме кредит за строителсто,довършителни работи и подобрение",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6016145415890041
как да си добавя кредитите в дск директ,Пазар Ежедневно банкиране,Пазар Спестяване и инвестиции,False,0.3174173555622229
каква е таксата за извлечение по сметка на физическо лице,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Ежедневно банкиране,False,0.6670463373886476
колко е таксата за теглене на каса,Пазар Ежедневно банкиране,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False,0.536424582373541
какво да направя когато клиента си е блокирал статичния пн за плащане между сметки,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.24852630898101305
"да, точно така",Други,Други,True,0.34852320181539637
може ли информация какво е дск родина,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.6799454514601999
оспорване на транзакция,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Други,False,0.36197807241460417
"пак грешиш, предназачено е за български граждани над 18 години , които нямат активни продукти в банка дск",Други,Пазар Ежедневно банкиране,False,0.2548658884903423
кредитиране с болничен,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,Други,False,0.2498215472810069
какво е съотношението дълг доход при ктп,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.5581698841356971
какви документи се изискват за откриване на сметка на граждани от ес,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.48612815920062846
черен списък,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,Няколко пазара,False,0.3211517717155524
параметри на евро облигации 3,Пазар Спестяване и инвестиции,Други,False,0.40219707870867427
списък с външни партньори,Пазар Жилищни и ипотечни кредити,Няколко пазара,False,0.33234032567712046
финансиралисе покупка на упи общинска собственост,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5167048909539504
как се открива набирателна сметка,Пазар Малък бизнес,Пазар Малък бизнес,True,0.5456263024840512
"в кое меню се заявява услугата ""пенсионни фондове и застрахователни продукти“?",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Спестяване и инвестиции,False,0.5793618507513425
как да направя ипотека,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.2204036586205096
дневен лимит за преводи между собстени сметки в дск мобайл,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7288237533606876
бланка удостоверение за доходи,Пазар Ежедневно банкиране,Няколко пазара,False,0.5814038125967416
как се анализират доходи на земесделски производител,Пазар Малък бизнес,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False,0.23585908759423413
не работи сайт на дск какво да посъветвам клиента?,Други,Пазар Ежедневно банкиране,False,0.26655580924125677
може ли клиент да си активира 3d парола през електронните канали,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5653396079445019
може ли клиент да плаща на пос терминал с дегитилизирана карта чрез dsk mobile,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7518199200967047
за кредити с променилива лихва колко е таксата ?,Няколко пазара,Пазар Жилищни и ипотечни кредити,False,0.44288385862980817
"има ли изключение за кредитиране, ако клиента залага хазарт",ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,Пазар Жилищни и ипотечни кредити,False,0.20278828057487736
архивира ли се опис на кредтино досие?,Други,Пазар Малък бизнес,False,0.2645924288863679
колко сметки може да има един клиент,Няколко пазара,Пазар Ежедневно банкиране,False,0.413133538747921
какви са ползите от план без ограничение?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7432619623917999
"към този момент мога да изискам единствено архитектурни проекти, тъй като се изчаква разрешението за строеж, за да могат да стартират. биха ли били достатъчни или да изчакаме да излезе и разрешението за строеж?",Пазар Жилищни и ипотечни кредити,Пазар Ежедневно банкиране,False,0.272756663689583
колко е таксата за предсрочно погасяване на потребителски кредит,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.7717097224945538
има ли изискаване с какъд доход трябва да е съдлъжник по кредит,Няколко пазара,Пазар Жилищни и ипотечни кредити,False,0.39404770608689127
"възможно ли е да финансираме по облекчената процедура клиент, чиито трудов договор е бил прекратен, но е подал искане за кредитна карта?",Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7250080103930762
каква е таксата за вноска от трето лице?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Ежедневно банкиране,False,0.3942894882435234
може ли клиент със запорирана сметка да кандидатства за потребителски кредит?,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.7615369625015294
до колко допълнителни карти може да има клиент физическо лице,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5357962033875621
"може ли да се открие сметка на украински гражданин, нов клиент за банката с документ за временна закрила?",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.559073962491668
колко време пазим дебитните карти преди да ги деактивираме,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.2792075239133743
как да се логнем на нов телефон с дск мобайл,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5550392134762271
връзка с преводи и разплащания,Други,Други,True,0.3814111358550524
при отрицателно салдо по сметка кога ще моце да бъде закрита,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Ежедневно банкиране,False,0.4259531748877668
предимства на спокойствие,Пазар Банково застраховане,Пазар Банково застраховане,True,0.23943482859743567
в продължение на два или три месеца,Други,Пазар Жилищни и ипотечни кредити,False,0.21714466145952757
не изчерпателен отговор,Други,Други,True,0.7039790765167097
колко е таксата за вноска без заявка,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,Пазар Ежедневно банкиране,False,0.38799523675119646
може ли да се разреши потребителски кредит на български гражданин с доход от чужбина,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.6183053598465793
може ли от сметка псоо да се иска преферциален курс,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.3545797198648824
колко години се гледат доходите за клиент самоосигуряващо се лице,Пазар Потребителско кредитиране,Пазар Ежедневно банкиране,False,0.3136354351670244
изключения при жик -как се процедира,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5950604449218179
много благодаря.,Други,Други,True,0.7799973305291342
адрес на офис слатина,Други,Други,True,0.575816700857433
какви са обезпеченията по жик,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6689387030903823
молба за усвояване на етап от кредит за довършителни работи,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7820003344114759
какви преференции ползват клиентите при кандидатстване за жилищен и ипочен кредит през платформата dskhome.bg,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.5237463321292294
изпрлащане на следствен влог,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Ежедневно банкиране,False,0.3451494420953911
имам оспорване за една сума която ми взета от сметката и никой не прави нищо по въпроса,Други,Други,True,0.3595429120734007
може ли да се издаде world debit mastercard без пакет премиум,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7698145333577596
какви аргументи мога да дам на клиента при продажба на инвестиционен план,Пазар Спестяване и инвестиции,Пазар Спестяване и инвестиции,True,0.5137533653644425
има ли гратисен период на кредитна карта galaxi,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7198447100973513
колко е такса за план премиум,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7597617946670666
"за покупка на жилищен имот,кое може да се приеме за основно обезпечение?",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7663547518206851
застраховка смисъл за теб,Пазар Банково застраховане,Пазар Банково застраховане,True,0.8444574385602405
коя кредитна карта е от пакет премиум,Пазар Ежедневно банкиране,Пазар Разсрочени плащания,False,0.6012464657264145
"основното покритие по полица любим дом стандарт включва ли риска ""земетресение""?",Пазар Банково застраховане,Пазар Банково застраховане,True,0.7182966521553236
докементи kyc падписват ли се и за родител или настойник,Пазар Ежедневно банкиране,Пазар Жилищни и ипотечни кредити,False,0.31485612281119146
еврова сметка може ли през дск мобайл,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.8519033814176943
как може да се активира вход с биометрия в дск мобайл,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.695613430210357
откриване на сметка с пълномощно - необходими документи,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5589703223024832
какъв е стандартният лимит по кредитна kарта platinum,Пазар Разсрочени плащания,Пазар Разсрочени плащания,True,0.7357971826970435
регистриране на интерес за план за ежедневно банкиране в crm?,Support_Services,Пазар Ежедневно банкиране,False,0.6407436797306618
коя е главната книга по която трябва да се събера таксата за закриване на фирмена сметка преди да са изтегли 6 месеца,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,True,0.3574507505207338
прикачи файл за искане за наследствени дялове,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,Пазар Жилищни и ипотечни кредити,False,0.2066383919396287
какво е необходимо за техническо становище,Пазар Жилищни и ипотечни кредити,Други,False,0.22635055574909668
"здравей, на работа ли си",Други,Други,True,0.6162274808196463
клон на дск в пловдив тракия,Други,Пазар Ежедневно банкиране,False,0.2712096958831811
защо няма 10% отстъпка при застраховка имущество,Пазар Банково застраховане,Пазар Банково застраховане,True,0.4781451908597538
указание за изключване от забранителни списъци,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,True,0.2687389274777417
какви буфери се използват при изчисляване на минимален остатъчен доход при потребителски кредити,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.49948461722164894
дай ми тарифа за частно банкиране,Няколко пазара,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False,0.4580518249410866
при какъв вид кредит може да бъде приет за обезпечение жилищен имот със степен на завършеност акт 14,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7551723894163487
как се изчислява такса материален интерес при частично заличаване на обезпечение,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.3189943867983757
"нужен ли е swift, за да се провери входящ валутен превод?",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,True,0.43649272391436184
как се активира електронно банкиране на дск тийн,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.4990096482638956
къде да намеря молба за усвояване,Пазар Жилищни и ипотечни кредити,Други,False,0.2668448384279518
има ли такса за теглене на каса премиум план,Пазар Ежедневно банкиране,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False,0.5896570509342727
забравих да питам ти ли ще ходиш на сделката - къде да сложа запетая ?,Други,Други,True,0.5741808268802012
приемаме ли дан.декларация за доход от чужбина на самоосигуряващо се лице,Пазар Жилищни и ипотечни кредити,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False,0.47317124904179764
какво съдържа план за заплата,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.6934619937539878
каква е таксата за теглене на атм с карта galaxy,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,True,0.7209955105903573
"може ли ,клиентът да запази кредитната си карта galaxyпри сключване на план премиум?",Пазар Ежедневно банкиране,Пазар Разсрочени плащания,False,0.48216835009000414
има ли такса за вноска по депозит,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.4279892149728303
от дск макс в млан за младежи необходими действия от служителя,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.5040296521843174
сметка за основни операции,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.39509252279513696
може ли да се отпусне ипотечен кредит с акт 14,Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.6396365131064282
архивира ли се полица застраховка спокойствие дебитна карта,Пазар Банково застраховане,Пазар Банково застраховане,True,0.7170699527501749
кои са допустимите правни форми при регистрация на бизнес клиенти през процеса по дигитален онбординг?,Пазар Малък бизнес,Пазар Малък бизнес,True,0.7845472522703423
"клиент продава имот, който е обезпечение в дск, необходимо му е удостоверение",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.2576306572019348
кой офис е най - близо до унсс,Други,Пазар Спестяване и инвестиции,False,0.4004734694930463
изисква ли се съдлъжник по потребителски кредит на клиент с продължително пребиваване,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.7368867665731265
колко е месечната таксата за пакет за младежи,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.665672138984351
"може ли да се сключи застраховка спокойствие към дебитна карта по сметка дск старт, когато картата е издадена на дете?",Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.56297493557272
поръчителство по кредит,Пазар Потребителско кредитиране,Пазар Потребителско кредитиране,True,0.37540498948366374
валутен превод,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,True,0.7727836621755884
каква сума може да бъде отпусната на клиент с минимална работна зплата,Няколко пазара,ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False,0.22654953713982812
каква е минималната сума за откриване на сметка тийн,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7614092797595218
"дай ми пример за анализ на доход с декларирана данъчна основа за 2024 година в размер на 207040 лева за ипотечен кредит за покупка на жилищен имот за свободна професия, консултант регистриран по еик, осигурява се на минималния праг 933 лева?",Пазар Жилищни и ипотечни кредити,Пазар Жилищни и ипотечни кредити,True,0.7819238618619153
какви документи трябва да събера от клиента за откриването на сметка дск тийн?,Пазар Ежедневно банкиране,Пазар Ежедневно банкиране,True,0.7538264693846526
