question_cleaned,department_target,message_uid,question_original,department_original,is_short_question
ако съм има просрочие в 2023г. но кредита е погасен проблем ли е?,Пазар Потребителско кредитиране,39579a2c-786a-4a94-875e-5684bbd7c37a,Ако съм има просрочие в 2023г. но кредита е погасен проблем ли е?,Пазар Потребителско кредитиране,False
условия за жик при акт 15?,Пазар Спестяване и инвестиции,dff83ed0-7ebd-4eda-a910-028b73ac93ab,Условия за ЖИК при акт 15?,Пазар Спестяване и инвестиции,False
каква е таксата за мултикеш на бюджет,Пазар Малък бизнес,c0ca2127-b02a-4fae-8128-5858a4774720,Каква е таксата за Мултикеш на бюджет,Пазар Малък бизнес,False
такса за банкова референция за погасен кредит,Пазар Ежедневно банкиране,7aac8c7d-71c5-4588-89c5-61a404f7f4c6,такса за банкова референция за погасен кредит,Пазар Ежедневно банкиране,False
"каква е таксата за сепа превод, нареден от фирма",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,09e9a4f4-5f80-433f-89c2-0e788b22d68d,"каква е таксата за сепа превод, нареден от фирма",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
какво е възрастовото ограничение на кредитоискател за ктп,Пазар Потребителско кредитиране,999ce8c5-a1a6-467b-9a1f-ac613095a2ec,какво е възрастовото ограничение на кредитоискател за КТП,Пазар Потребителско кредитиране,False
може ли да има съдлъжник през los,Пазар Потребителско кредитиране,ec978ab6-b509-4ae5-99d5-eccf72eada2b,може ли да има съдлъжник през LOS,Пазар Потребителско кредитиране,False
колко време назад може да се извади авизо за превод,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,ad1fc26c-501c-44e6-bce4-b24999179faf,колко време назад може да се извади авизо за превод,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
как да продам смисъл за теб,Пазар Спестяване и инвестиции,2658cf32-d693-4149-8ff4-18f335db6da5,как да продам смисъл за теб,Пазар Спестяване и инвестиции,False
какво е мнението ти за уникредит булбанк,Други,768aae12-41ed-470c-ae6a-bb82fce46f25,какво е мнението ти за Уникредит булбанк,Други,False
"служителят излъчил преовда е сгрешил , ане клиента",Други,78a0c59b-7cec-4875-b7bc-826b28dfcfe8,"СЛУЖИТЕЛЯТ ИЗЛЪЧИЛ ПРЕОВДА Е СГРЕШИЛ , АНЕ КЛИЕНТА",Други,False
може ли да дадем допълнителни средства при жилищни кредити на етапи,Пазар Жилищни и ипотечни кредити,19a8e99f-9091-447f-b96c-6fc7dcf62825,Може ли да дадем допълнителни средства при жилищни кредити на етапи,Пазар Жилищни и ипотечни кредити,False
как да слеем два акаунта с един,Други,e1eab73d-4c4d-42be-8f53-3ef3638955cb,Как да слеем два акаунта с един ,Други,False
"мога ли да кандидатствам за кредит, ако имам просрочие през 2024г. в цкр",ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,64aeed68-feb2-4149-858e-3d7452386640,"Мога ли да кандидатствам за кредит, ако имам просрочие през 2024г. в ЦКР",ДИРЕКЦИЯ КРЕДИТЕН РИСК ИНДИВИДУАЛНИ КЛИЕНТИ,False
до каква сума клиент може да нареди превод през дск смарт,Пазар Ежедневно банкиране,0379cd5a-a73b-45dd-8bb9-5a7990902e7c,До каква сума клиент може да нареди превод през ДСК смарт,Пазар Ежедневно банкиране,False
от къде получи тази информация,Други,52e2f3f0-7e17-4ba8-9e0d-d9c51b268475,от къде получи тази информация ,Други,False
каква е цената на един sms,Други,4c43ffdc-ccf5-45a4-9b83-843c4cf4cf98,каква е цената на един SMS,Други,False
преди думата трябва има ли запетая ?,Други,071bb3d3-30f3-4431-9663-c3a31330cff6,Преди думата трябва има ли запетая ?,Други,False
колко минути е обедната почивка,Други,79891ab6-acdf-4ca5-a49d-2c4633685e01,Колко минути е обедната почивка ,Други,False
предлагаме ли кредит за погасяване на задължения към топлофикация при запор,Пазар Потребителско кредитиране,a4c5a17e-b6e3-43f6-b7e4-951eb2c3fa10,предлагаме ли кредит за погасяване на задължения към топлофикация при запор,Пазар Потребителско кредитиране,False
само родител без да присъства детето може ли да открие и получи банковата му карта?,Пазар Ежедневно банкиране,ac4aa538-5457-43e1-a203-3152d830f09d,Само родител без да присъства детето може ли да открие и получи банковата му карта?,Пазар Ежедневно банкиране,False
опис на досие на юл,Пазар Малък бизнес,7e2ab176-2965-4dd1-ac2a-24916c0d627e,опис на досие на Юл,Пазар Малък бизнес,False
има ли такса при вноска на дск старт,Пазар Ежедневно банкиране,f1b27666-ce12-4240-8ea1-e33a17215c7b,има ли такса при вноска на дск старт,Пазар Ежедневно банкиране,False
дължи ли се такса вноска по детски спестовен влог от трето лице,Пазар Ежедневно банкиране,5a4fec18-48f3-4d78-b75e-a7dc876a0bc8,дължи ли се такса вноска по детски спестовен влог от трето лице,Пазар Ежедневно банкиране,False
кои параметри може да се променят по офертата за потребителски кредит в приложението dsk mobile,Пазар Потребителско кредитиране,9afc8eb0-c212-48e0-ad97-b46043e4e1a4,кои параметри може да се променят по офертата за потребителски кредит в приложението dsk mobile,Пазар Потребителско кредитиране,False
"при рефинансиране на ипотечен кредит от друга банка комбинирано с рефинансиране на потребителски в банка дск ад, банкат ще възстанови ли разходите за ипотеката на клиента",Пазар Жилищни и ипотечни кредити,af1a7f45-f0d8-4790-be2e-9e6860b95083,"При рефинансиране на ипотечен кредит от друга банка комбинирано с рефинансиране на потребителски в Банка ДСК АД, Банкат ще възстанови ли разходите за ипотеката на клиента",Пазар Жилищни и ипотечни кредити,False
може ли дете на 14 години да си вземе самостоятелно дебитната карта,Пазар Ежедневно банкиране,0880b1fc-28d8-4cb7-b212-64e28a1a41b5,може ли дете на 14 години да си вземе самостоятелно дебитната карта,Пазар Ежедневно банкиране,False
"по застраховка ""любим дом стандарт"" застраховат ли се соларни панели на покрив?",Пазар Банково застраховане,4b0df537-b293-4642-bd0c-778e54bfc18d,"По застраховка ""Любим дом Стандарт"" застраховат ли се соларни панели на покрив?",Пазар Банково застраховане,False
необходимо ли е потвърждение с пин или биометрия за заплащане на битови сметки през dsk mobile,Пазар Ежедневно банкиране,10b568e2-706e-479f-accd-f60d7d147ac2,необходимо ли е потвърждение с ПИН или биометрия за заплащане на битови сметки през DSK Mobile,Пазар Ежедневно банкиране,False
ще искаме ли съдлъжник с адресна регистрация в българия на гражданин на беларус с постоянно пребиваване в българия,Пазар Жилищни и ипотечни кредити,ecc1e823-9692-4898-ac73-54e3aa3fe126,ще искаме ли съдлъжник с адресна регистрация в българия на гражданин на Беларус с постоянно пребиваване в българия,Пазар Жилищни и ипотечни кредити,False
как сконтираме вноска ако клиента влезе в пенсионна възраст,Пазар Жилищни и ипотечни кредити,8b153296-b193-49a1-95fb-b3a79e37ce25,Как сконтираме вноска ако клиента влезе в пенсионна възраст,Пазар Жилищни и ипотечни кредити,False
задължително ли е включване на план за ежедневно банкиране,Пазар Ежедневно банкиране,17283d0c-70f3-4704-aca1-d52cbfca2447,задължително ли е включване на план за ежедневно банкиране,Пазар Ежедневно банкиране,False
каква е разликата между план премиум и пакет премиум,Пазар Ежедневно банкиране,a40a9751-cbd4-431b-943c-ba94a6588533,каква е разликата между план премиум и пакет премиум,Пазар Ежедневно банкиране,False
аромати дрогерие,Други,53fa5eff-8204-4577-a810-c8209353f474,аромати дрогерие ,Други,False
може ли клиент с доходи от майчинствто да кандидатства за кредит,Пазар Потребителско кредитиране,c188a840-e550-45a6-ac50-500128fe3430,може ли клиент с доходи от майчинствто да кандидатства за кредит,Пазар Потребителско кредитиране,False
теглене на сума от сметка на клиент под запрещение,Support_Services,39a92518-cda7-425b-b23d-60e62312e4aa,ТЕГЛЕНЕ НА СУМА ОТ СМЕТКА НА КЛИЕНТ ПОД ЗАПРЕЩЕНИЕ,ПРАВНО,False
усковия за набирателна сметка онлайн,Пазар Малък бизнес,537ff6ef-c635-448c-a265-56c584dc97f0,Усковия за набирателна сметка онлайн,Пазар Малък бизнес,False
а получаването,Други,abf6308a-9246-438d-95e4-b0b829197e21,а получаването,Други,False
за да се изтрие сметка как се маха план,Пазар Ежедневно банкиране,c24fd8fd-35ef-41ee-8ac3-38a872119263,за да се изтрие сметка как се маха план,Пазар Ежедневно банкиране,False
можем ли да дадем ктп в размер на 95000лв.,Пазар Потребителско кредитиране,0bdbf240-2392-4a97-9f88-5bbeffc5bab6,Можем ли да дадем КТП в размер на 95000лв.,Пазар Потребителско кредитиране,False
"има ли гратисен период за плащане на поредни вноски по застраховки ""спокойствие"" към дебитна карта, кредитна карта и овърдрафт?",Пазар Банково застраховане,0b14c84c-66bc-4ebf-8038-dd32dfaf8e6c,"Има ли гратисен период за плащане на поредни вноски по застраховки ""СПОКОЙСТВИЕ"" към Дебитна карта, Кредитна карта и Овърдрафт?",Пазар Банково застраховане,False
дължат ли такси по ипотечни кредити служители на дъщерните дружества на банка дск ?,Пазар Жилищни и ипотечни кредити,69fcbc9e-4d93-4ba3-a57b-26b5715d2c02,Дължат ли такси по ипотечни кредити служители на дъщерните дружества на Банка ДСК ?,Пазар Жилищни и ипотечни кредити,False
"когато има съдебно изискуем кредит, към кого трябва да се обърнем?",Support_Services,ce95fa67-8c6b-4100-8029-4cf4aec6c3e6,"Когато има съдебно изискуем кредит, към кого трябва да се обърнем?",ПРАВНО,False
"след колко неплатени такси се прекратява план премиум : 1, 2 или 3",Пазар Ежедневно банкиране,6d0355ad-0718-4a9c-af8e-c303ec39477b,"след колко неплатени такси се прекратява план премиум : 1, 2 или 3",Пазар Ежедневно банкиране,False
каква е минималната сума за срочен депозит?,Пазар Ежедневно банкиране,49f574d1-cae2-4e9d-bc7a-a4d4b8b925b7,Каква е минималната сума за срочен депозит?,Пазар Ежедневно банкиране,False
"може ли клиент да получава sms-и, които не отговарят на реалната сума, която остава по сметката? към кой да се обърна?",Други,6482a272-bfab-447d-aaac-650f487c4d78,"МОЖЕ ЛИ КЛИЕНТ ДА ПОЛУЧАВА SMS-И, КОИТО НЕ ОТГОВАРЯТ НА РЕАЛНАТА СУМА, КОЯТО ОСТАВА ПО СМЕТКАТА? КЪМ КОЙ ДА СЕ ОБЪРНА?",Други,False
здравейте искам да попитам има ли опция да се изтрият движенията по моята сметка ? изобщо да не съществуват ? благодаря .,Пазар Ежедневно банкиране,bc4c1226-758c-4034-85d6-af0eadc49804,"Здравейте искам да попитам има ли опция да се изтрият движенията по моята сметка ? Изобщо да не съществуват ?
Благодаря .",Пазар Ежедневно банкиране,False
такси план без ограничение,Пазар Ежедневно банкиране,369bbbf6-beb7-4504-8d50-5139d6136b7d,такси план без ограничение,Пазар Ежедневно банкиране,False
допуска ли се онбординг за регистрация на дружество с трима собственици с по 33% участие в капитала,Пазар Малък бизнес,6473a19a-27e2-45b7-b2d0-aa24809e17c7,Допуска ли се онбординг за регистрация на дружество с трима собственици с по 33% участие в капитала,Пазар Малък бизнес,False
може ли клиент да си открие сметка в австралийски долари в клон на банката,Пазар Ежедневно банкиране,8c79230c-29cc-4e30-b0a9-ae50d0e894db,Може ли клиент да си открие сметка в Австралийски долари в клон на банката,Пазар Ежедневно банкиране,False
кредитна защита,Пазар Банково застраховане,5e17913b-13a7-4de6-889a-17929075f1ea,кредитна защита,Пазар Банково застраховане,False
получавам заплата 4000лв с променлив лихвен процент и равни месечни вноски,Други,dae2f266-75e2-4cac-8740-376425fb7ea4,получавам заплата 4000лв с променлив лихвен процент и равни месечни вноски,Други,False
"здравейте, може ли да бъде закрит спестовен влог дск бъдеще на непълнолетен 14г. и да бъде прехвърлена сумата по разпл. сметка дск тийн",Пазар Ежедневно банкиране,f79a32f3-e16a-473c-9619-e8c795900049,"Здравейте, може ли да бъде закрит спестовен влог дск бъдеще на непълнолетен 14г. и да бъде прехвърлена сумата по разпл. сметка дск тийн",Пазар Ежедневно банкиране,False
тристранно споразумение за електронни канали,Пазар Малък бизнес,6d943775-a5ae-403c-9d89-8db33f3fd9ff,тристранно споразумение за електронни канали,Пазар Малък бизнес,False
колко обратни връзки трябва да имаме за да подържаме nps на 90%,Други,c41c4b83-9db1-485e-b973-b1ab58656fa7,колко обратни връзки трябва да имаме за да подържаме nps на 90%,Други,False
извлечения по сметки на визически лица,Пазар Ежедневно банкиране,a397c1bf-565a-4124-9994-9a8c4c2ad403,извлечения по сметки на визически лица,Пазар Ежедневно банкиране,False
харесваш ли ме,Други,ff4216fe-7612-411c-8343-3c9aa6c004a8,харесваш ли ме,Други,False
клиент има нужда от съдействие за своята isic карта и стикера за бдж. как можем да му съдействаме?,Пазар Ежедневно банкиране,779687c2-8e70-4e29-b74f-8d2ab48d2383,Клиент има нужда от съдействие за своята ISIC карта и стикера за БДЖ. Как можем да му съдействаме?,Пазар Ежедневно банкиране,False
такса за справка на бизнес клиент по разплащателна сметка,Пазар Малък бизнес,a9309154-c252-4ad5-ab67-3d652c827a1a,такса за справка на бизнес клиент по разплащателна сметка,Пазар Малък бизнес,False
3568+3568,Други,a9b40a9a-c3f4-4193-8b07-e7b4d79ca1af,3568+3568,Други,True
"този отговор не отговаря конкретно на въпроса , които зададох и ми го отговаряш за 2ри път не ми става ясно какео отговаряш",Други,4caaa448-2447-4ca9-8df6-0de49d181a29,"този отговор не отговаря конкретно на въпроса , които зададох и ми го отговаряш за 2ри път не ми става ясно какео отговаряш",Други,False
кредитна карта може ли да се дигитализира в дск мобайл,Пазар Ежедневно банкиране,2fb6b39b-9359-4cd5-af12-898c074a4619,Кредитна карта може ли да се дигитализира в ДСК Мобайл,Пазар Ежедневно банкиране,False
къде се качват сканираните нареждания за отказ от еднократни/периодични преводи с бъдеща дата на изпълнение?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,42290e59-6170-4176-bcc0-03040b6ef326,къде се качват сканираните нареждания за отказ от еднократни/периодични преводи с бъдеща дата на изпълнение?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
какво може да загуби инвеститорът при инвестиция в договорен фонд?,Пазар Спестяване и инвестиции,d66206d2-05b4-4b8b-959e-9b3486e75d87,Какво може да загуби инвеститорът при инвестиция в договорен фонд?,Пазар Спестяване и инвестиции,False
:),Други,b9b96457-03fb-4150-9903-bcb72a082966,:),Други,True
кога стартира поетапното преминаване към visa карти,Пазар Ежедневно банкиране,922cbbc4-addd-418a-afb8-02e33e8d589e,Кога стартира поетапното преминаване към Visa карти,Пазар Ежедневно банкиране,False
местоположение на банкомати за внасяне на пари,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,fd984530-e19c-4047-b992-8619bae4c358,местоположение на банкомати за внасяне на пари ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
мога ли през дск директ да си изкарам извлечения за вече закрита сметка,Пазар Ежедневно банкиране,c4c5ba45-798f-4b55-aac6-64e9a3a283c0,мога ли през дск директ да си изкарам извлечения за вече закрита сметка,Пазар Ежедневно банкиране,False
какви са таксите за вноска на атм,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,630b3a53-4d58-4162-a8bf-8ef66fe129c9,Какви са таксите за вноска на АТМ ,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
как да си добавя картата в часовник,Други,88105796-144d-4697-92b1-b708725a5580,КАК ДА СИ ДОБАВЯ КАРТАТА В ЧАСОВНИК,Други,False
дневен лимит между собствени сметки в dsk mobile,Пазар Ежедневно банкиране,4272e84b-f418-4bbb-8658-0e43c760d17f,дневен лимит между собствени сметки в DSK MOBILE,Пазар Ежедневно банкиране,False
има ли такса на касова вноска по сметка на непълнолетно лице,Пазар Ежедневно банкиране,0808a458-84cc-4eac-ae45-cd86cfdbdff9,има ли такса на касова вноска по сметка на непълнолетно лице,Пазар Ежедневно банкиране,False
"дължи ли се такса за теглене ,ако сметката е псоо - доходи",Пазар Ежедневно банкиране,e10e233c-7779-45cc-ab5e-525382e43292,"дължи ли се такса за теглене  ,ако сметката е ПСОО - ДОХОДИ",Пазар Ежедневно банкиране,False
къде може да се види лихвения процент по кредетните карти,Пазар Разсрочени плащания,b4ac6dc9-c0f1-4254-9191-2c37244601d7,къде може да се види лихвения процент по кредетните карти,Пазар Разсрочени плащания,False
коя външна оценка може да бъде валидирана в банката,Няколко пазара,7974ea37-20d6-40aa-af5e-2da20537a5c0,Коя външна оценка може да бъде валидирана в банката,Няколко пазара,False
какъв е процеса по отпускане на жилищен кредит,Пазар Жилищни и ипотечни кредити,d6998710-b1e3-45f2-ab45-6115ceac4dab,какъв е процеса по отпускане на жилищен кредит,Пазар Жилищни и ипотечни кредити,False
такса за target превод,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,e3999997-a8d4-45ab-8927-08e464e14c23,такса за target превод,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
документи за встъпване в кредит от наследници,Support_Services,0a487225-93d5-4b77-8dcb-d98af42567df,документи за встъпване в кредит от наследници,ПРАВНО,False
сигурен ли сте в отговора?,Други,257f659a-359b-4625-a280-31448d4f183d,Сигурен ли сте в отговора?,Други,False
как да добавим сметка към дск смарт?,Пазар Ежедневно банкиране,b48cc5df-70a8-495c-a1e4-59c88f93bba8,как да добавим сметка към дск смарт?,Пазар Ежедневно банкиране,False
колко е бонуса за служител на банката при жилищен кредит през канал фронт офис?,Пазар Жилищни и ипотечни кредити,2d7afdff-93b4-4d62-8007-86f54b01a66d,Колко е бонуса за служител на банката при жилищен кредит през канал фронт офис?,Пазар Жилищни и ипотечни кредити,False
всеки ли може да го ползва,Други,8095c693-6a01-4c82-908c-146d30be0405,всеки ли може да го ползва,Други,False
"след като навърши 18 години,какво става със сметката",Пазар Ежедневно банкиране,9fe77536-2f76-4bec-a19f-942f81929163,"След като навърши 18 години,какво става със сметката",Пазар Ежедневно банкиране,False
при доходи от граждански договор под минималната заплата за страната дължат ли се осигурителни вноски?,Други,e37b08b3-7de3-45c9-812d-c15dbd56df79,При доходи от граждански договор под минималната заплата за страната дължат ли се осигурителни вноски?,Други,False
дават ли някакви отстъпки?,Други,580e226c-9182-4073-a97d-d998842a93f8,Дават ли някакви отстъпки? ,Други,False
кой от следните фондове е финансран от задължителни вноски от работници и работодатели,Пазар Спестяване и инвестиции,04ae1dd1-61f5-4385-8fda-cbc77b8c6f46,Кой от следните фондове е финансран от задължителни вноски от работници и работодатели ,Пазар Спестяване и инвестиции,False
служителят дължи ли такса теглене?,Пазар Ежедневно банкиране,c735a86e-d93f-431f-a391-7740b3fca03c,Служителят дължи ли такса теглене?,Пазар Ежедневно банкиране,False
"до каква възраст може да бъде сключена застраховка ,,смисъл за теб""?",Пазар Банково застраховане,f2c4099e-b24d-4f0c-8b97-0a5b53152428,"До каква възраст може да бъде сключена застраховка ,,Смисъл за теб""?",Пазар Банково застраховане,False
къде мога да намеря искане за удостоверение,Няколко пазара,87ec6a7b-c27e-41dd-b946-db6ebd02c65d,къде мога да намеря искане за удостоверение,Няколко пазара,False
"клиентът работи в холандия и доказва доходи от там. всички документи е превел от нидерландски на английски език. може ли банката да приеме за анализ документите преведени на английски? и как да тълкувам текста от ""документи за удостоверяване на доход в зависимост от източника на доход“ чл. 65: (1) всички документи удостоверяващи доходите и кредитните задължения се представят в оригинал. банката приема документите само с официален превод на български език с изключение на документи, оформени на английски език.",Пазар Жилищни и ипотечни кредити,3f958f65-b439-43f3-aa64-e156d802abd2,"Клиентът работи в Холандия и доказва доходи от там.
Всички документи е превел от нидерландски на английски език.
Може ли банката да приеме за анализ документите преведени на английски?
И как да тълкувам текста от „Документи за удостоверяване на доход в зависимост от източника на доход“ чл. 65:


(1)	Всички документи удостоверяващи доходите и кредитните задължения се представят в оригинал. Банката приема документите само с официален превод на български език с изключение на документи, оформени на английски език.
",Пазар Жилищни и ипотечни кредити,False
как да прекратя застраховка любим дом ?,Пазар Банково застраховане,c1a1b347-8dff-4cf2-8313-178d7f410b5e,Как да прекратя застраховка Любим дом ?,Пазар Банково застраховане,False
как се въвежда при излъчване на искане за кредит в los доход от граждански договор,Пазар Потребителско кредитиране,ef99a735-baa6-41be-ba7b-1ff234c045a4,Как се въвежда при излъчване на искане за кредит в LOS доход от граждански договор,Пазар Потребителско кредитиране,False
"събира ли се такса за издаване на допълнителна дебитна карта към план за младежи, основен план, план за заплата, план без ограничение?",Пазар Ежедневно банкиране,91a9954e-8b59-4096-a2c3-29df9ef74cb4,"Събира ли се такса за издаване на допълнителна дебитна карта към план За Младежи, Основен план, план За заплата, план Без Ограничение?",Пазар Ежедневно банкиране,False
как да пресметнем каква сума може да се отпусне за жик с обезпечение с втора по ред ипотека,Пазар Жилищни и ипотечни кредити,d63d3fa0-5427-48b9-9a44-a107eb789294,Как да пресметнем каква сума може да се отпусне за ЖИК с обезпечение с втора по ред ипотека,Пазар Жилищни и ипотечни кредити,False
какви преференции се използва при кредитна карта wizz air,Пазар Разсрочени плащания,f7ad9a87-246d-4042-8d3f-a629dbe9d3c2,какви преференции се използва при кредитна карта WIZZ AIR,Пазар Разсрочени плащания,False
може ли да се дигитализира кредитна карта през дск мобайл?,Няколко пазара,6c9b0e66-178b-4c80-a794-d0b077602d6f,може ли да се дигитализира кредитна карта през дск мобайл?,Няколко пазара,False
промоция ипотечни кредити външно рефинансиране,Пазар Жилищни и ипотечни кредити,4314befc-b251-43c9-9204-9122c9fc315c,промоция ипотечни кредити външно рефинансиране,Пазар Жилищни и ипотечни кредити,False
как се сменя пин през дск mobile,Пазар Ежедневно банкиране,fe87528f-ba05-471e-b0ef-89423557835d,как се сменя пин през дск mobile,Пазар Ежедневно банкиране,False
как се верифицират контактни данни на клиент (мобилен номер и e-mail) при дигитален онбординг или регистрация в dsk mobile?,Пазар Ежедневно банкиране,8e8b56da-ea74-4a91-9ea3-a59019eb6ce0,Как се верифицират контактни данни на клиент (мобилен номер и e-mail) при дигитален онбординг или регистрация в DSK Mobile?,Пазар Ежедневно банкиране,False
отпускате ли кредит на клиент 80 години,Няколко пазара,3908f8e4-09f0-43fb-9f0b-3de4d98bbfe5,отпускате ли кредит на клиент 80 години,Няколко пазара,False
как ще се осъществи миграцията от master card към visa карти?,Пазар Ежедневно банкиране,20ca9275-b1e5-438b-b884-850375a5a72d,Как ще се осъществи миграцията от Master card към Visa карти?,Пазар Ежедневно банкиране,False
какъв е сигнатурния номер на жар калоян 1,Други,03d360a7-40d3-4aa5-bff9-aa2b41caece3,какъв е сигнатурния номер на жар калоян 1,Други,False
приложение 14,Други,9adcab45-41d7-43c2-b135-3ea2562b44ad,приложение 14,Други,False
какво означава изпълнени условия по кредит,Няколко пазара,53608a00-b4a4-470f-823e-cf9c5bed5f87,Какво означава изпълнени условия по кредит,Няколко пазара,False
в кои пакети се включва дс старт,Пазар Ежедневно банкиране,51be7b01-7965-4a45-979c-5cb2daad82d0,в кои пакети се включва ДС Старт,Пазар Ежедневно банкиране,False
кога се подновява ипотека,Пазар Жилищни и ипотечни кредити,8a7c9b14-69a5-4fe2-b5d0-5c42e553298b,Кога се подновява ипотека,Пазар Жилищни и ипотечни кредити,False
откъде може да има такса за обслужване на сметка по виртуална карта,Пазар Ежедневно банкиране,50b91533-2e64-4b3f-a0de-4fd2d4fc7854,откъде може да има такса за обслужване на сметка по виртуална карта,Пазар Ежедневно банкиране,False
има ли такса за пазаруване с дебитна карта в турция,Пазар Ежедневно банкиране,ce01ba0f-7caf-454b-b75c-66ba14acb7f0,има ли такса за пазаруване с дебитна карта в Турция,Пазар Ежедневно банкиране,False
можем ли да откриваме сметки на руски граждани,Пазар Ежедневно банкиране,6042d7e1-4d73-4576-b02b-586fdab16561,можем ли да откриваме сметки на руски граждани,Пазар Ежедневно банкиране,False
набирателната с-ка има ли такси,Пазар Малък бизнес,ee27eb68-4372-422c-b0ec-47c5361b784b,Набирателната с-ка има ли такси,Пазар Малък бизнес,False
необходим ли е акт за раждане,Други,347afec9-ce31-49e7-837d-036304e4412e,необходим ли е акт за раждане ,Други,False
какви са изискванията за сключване на застраховка любим дом стандарт за покритие на соларни панели,Пазар Банково застраховане,858a63d7-de90-4a24-9875-5ea6cb188e96,какви са изискванията за сключване на застраховка любим дом стандарт за покритие на соларни панели,Пазар Банково застраховане,False
ктп за пенсионери,Пазар Потребителско кредитиране,d54b6bdd-5fce-4334-bf9b-f98405ccfd72,КТП ЗА ПЕНСИОНЕРИ,Пазар Потребителско кредитиране,False
може ли малолетно лице да си открие сметка в банката?,Пазар Ежедневно банкиране,b6bf78cb-15dc-4ed2-a073-8a4fce99f230,Може ли малолетно лице да си открие сметка в банката?,Пазар Ежедневно банкиране,False
"кои са документите за икономическа свързаност за регистрация на клиенти, които са граждани на страни извън европейския съюз",Пазар Ежедневно банкиране,79672093-2934-4a24-af32-df6aeecd44d2,"кои са документите за икономическа свързаност за регистрация на клиенти, които са граждани на страни извън европейския съюз",Пазар Ежедневно банкиране,False
кога има сетълмент в бисера,Други,0d0de98d-e299-4127-87bc-2cd4c1f76937,кога има сетълмент в бисера,Други,False
"какво е нужно да гледам и искам от клиента като информация , за да пусна ктп",Пазар Потребителско кредитиране,582bfc84-6f3e-49fd-ab64-10182f6ca812,"какво е нужно да гледам  и искам от клиента като информация , за да пусна ктп",Пазар Потребителско кредитиране,False
формуляра за обработка на лични данни в банката се съхранява,Пазар Ежедневно банкиране,768132de-9edf-4b1b-b99e-57b14c7852e9,формуляра за обработка на лични данни в банката се съхранява ,Пазар Ежедневно банкиране,False
какъв доход е необходим за издаване на карта премиум,Пазар Ежедневно банкиране,8bbb371a-98fd-413c-abd8-6fd5771512d9,какъв доход е необходим за издаване на карта премиум,Пазар Ежедневно банкиране,False
документи за правно становище,Support_Services,d7f6843a-603e-4bba-8f38-4ccf4d1ba5ba,документи за правно становище,ПРАВНО,False
какво включва застраховка пътуване?,Пазар Банково застраховане,50a815d3-9f74-4437-97ef-ab45c725ca84,какво включва застраховка пътуване?,Пазар Банково застраховане,False
каква е таксата за извлечение от сметка за период от 1 месец?,Пазар Ежедневно банкиране,b4e5bbd9-2274-452f-9ad9-14c51bf471d4,каква е таксата за извлечение от сметка за период от 1 месец?,Пазар Ежедневно банкиране,False
какво е необходимо за откриване на руски гражданин,Пазар Ежедневно банкиране,ffca89b7-49d6-4816-abe2-b01da561be15,какво е необходимо за откриване на руски гражданин,Пазар Ежедневно банкиране,False
колко ни е най-ниския процент за ипотечени кредити?,Пазар Жилищни и ипотечни кредити,4dabc017-3b3c-4c6c-a8eb-efb20f0081e0,колко ни е най-ниския процент за ипотечени кредити?,Пазар Жилищни и ипотечни кредити,False
застраховката живот по ипотечен кредит отразява ли се в гпр,Пазар Жилищни и ипотечни кредити,d699cf55-7ce3-4933-919a-6d2d3f9c4af2,застраховката живот по ипотечен кредит отразява ли се в ГПР,Пазар Жилищни и ипотечни кредити,False
закриване на доларова сметка,Пазар Ежедневно банкиране,0bffc6ac-2099-4b1f-92f2-4c7c9d5d495a,закриване на доларова сметка,Пазар Ежедневно банкиране,False
"при анализ на допълнителен доход от получени бонуси, какъв е размера на получения бонус който се приема за анализ.",Няколко пазара,b06c2fed-912c-4a74-9478-d0adccaa1c1b,"При анализ на допълнителен доход от получени бонуси, какъв е размера на получения бонус който се приема за анализ.",Няколко пазара,False
"как се подава информация за използване на дебитна карта, когато клиент заминава в чужбина",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,e6cfcec5-eefa-4730-a8b2-1dd896d2b047,"Как се подава информация за използване на дебитна карта, когато клиент заминава в чужбина",ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
